MAGEB16	XV_PREGNANCY_BIRTH	13986	19268	4775	14266	2.1686313416597196	0.0
H2BFM	XV_PREGNANCY_BIRTH	12085	16191	6676	17343	1.939013702106656	5.06548800793255e-279
IDH3G	XV_PREGNANCY_BIRTH	6456	7934	12305	25600	1.6928936378515684	5.904563722924819e-151
CFAP47	XV_PREGNANCY_BIRTH	4145	4826	14616	28708	1.686986551817139	2.475422591010695e-108
MAGEB16	XIV_GENITOURINARY	15431	17823	7377	11664	1.3689292137221105	4.483181647697042e-65
H2BFM	XIV_GENITOURINARY	13208	15068	9600	14419	1.3165742522785595	3.1264636092943673e-54
MAGEB16	XXI_HEALTHFACTORS	19748	13506	10093	8948	1.2962897151852792	1.5891780601641854e-45
H2BFM	XXI_HEALTHFACTORS	16852	11424	12989	11030	1.2526595440701493	5.537110731336063e-37
MAGEB16	IBD_ENDOMETRIOSIS	1418	31836	462	18579	1.7911753091738014	6.010428993550661e-29
IDH3G	XIV_GENITOURINARY	6784	7606	16024	21881	1.2179395907453572	1.462922760989262e-23
MAGEB16	I9_VARICVE	3294	29960	1403	17638	1.38220816160678	4.877409045328812e-23
H2BFM	HYPTENSPREG	1098	27178	581	23438	1.629781048228109	1.3285784724319231e-21
MAGEB16	HYPTENSPREG	1242	32012	437	18604	1.6517095562848143	3.983197263254798e-20
MAGEB16	II_NEOPLASM	11804	21450	6021	13020	1.1899926016517945	1.9994979566526747e-19
H2BFM	IBD_ENDOMETRIOSIS	1203	27073	677	23342	1.532070111222347	9.347251821083798e-19
FAM122C	XV_PREGNANCY_BIRTH	740	854	18021	32680	1.5713647634876147	1.964036422525225e-18
H2BFM	C3_BREAST	959	27317	516	23503	1.5990395423470576	6.682031714842867e-18
H2BFM	C3_BREAST_EXALLC	959	27317	516	23503	1.5990395423470576	6.682031714842867e-18
MAGEB16	ANY_OPER	30019	3235	16735	2306	1.2786613031855327	2.8689825518824214e-17
IDH3G	XXI_HEALTHFACTORS	8637	5753	21204	16701	1.1824784264030548	3.4904866369694934e-17
MICA	L12_PSORI_NAS	28	1219	123	50925	9.509994197562976	3.88456413475341e-17
MAGEB16	C3_BREAST	1087	32167	388	18653	1.6245607251332368	6.887312083571948e-17
MAGEB16	C3_BREAST_EXALLC	1087	32167	388	18653	1.6245607251332368	6.887312083571948e-17
SPANXN4	XV_PREGNANCY_BIRTH	723	854	18038	32680	1.5338189245550573	1.7314861705197714e-16
MICA	L12_PSORIASIS	62	1185	725	50323	3.631632183908046	3.8503696741931377e-16
MICA	L12_PAPULOSQUAMOUS	65	1182	805	50243	3.4322235184075836	9.526317736531684e-16
POU5F1	L12_PSORI_NAS	34	2192	117	49952	6.622247176991703	1.0927465279074631e-15
IDH3G	IBD_ENDOMETRIOSIS	671	13719	1209	36696	1.484542004649508	3.1392246691002415e-15
MAGEB16	G6_MIGRAINE	1534	31720	616	18425	1.4465017564402811	9.03229615189035e-15
HLA-DQB1	T1D_STRICT1	134	24012	46	28103	3.409347862300734	1.444908786102405e-14
POU5F1	L12_PSORIASIS	84	2142	703	49366	2.7538002398683514	1.8436282864290193e-14
MAGEB16	I9_DISVEINLYMPH	4436	28818	2105	16936	1.2384727215060394	1.9334379928637003e-14
HLA-DQB1	T1D_STRICT	141	24005	51	28098	3.236105223176544	1.9371332277145217e-14
IDH3G	HYPTENSPREG	603	13787	1076	36829	1.49701169114917	2.300674280168598e-14
H2BFM	II_NEOPLASM	10039	18237	7786	16233	1.1476816698975942	1.1327994870430002e-13
H2BFM	M13_HALLUXVALGUS	1337	26939	828	23191	1.3900776992500323	1.7270643544846553e-13
CFAP47	XIV_GENITOURINARY	4227	4744	18581	24743	1.18650846033678	2.2109730060990186e-13
POU5F1	L12_PAPULOSQUAMOUS	87	2139	783	49286	2.5601786920159992	2.5935250115587886e-13
H2BFM	I9_VARICVE	2777	25499	1920	22099	1.2534993815116933	2.9972776484963753e-13
H2BFM	G6_MIGRAINE	1326	26950	824	23195	1.3850068447502566	3.860269739815396e-13
MAGEB16	PRE_OR_ECLAMPSIA	616	32638	201	18840	1.7690577689407	3.9864396393061586e-13
IDH3G	C3_BREAST	531	13859	944	36961	1.500148820261202	5.669342428403884e-13
IDH3G	C3_BREAST_EXALLC	531	13859	944	36961	1.500148820261202	5.669342428403884e-13
HCG27	THYROIDITIS	105	15871	85	36234	2.820215932129263	1.923458103048513e-12
MAGEB16	M13_HALLUXVALGUS	1528	31726	637	18404	1.3914923613503418	2.7135811050632118e-12
FMR1	XV_PREGNANCY_BIRTH	394	436	18367	33098	1.6284456117198625	5.611978850003972e-12
IDH3G	I9_VARICVE	1495	12895	3202	34703	1.256508812469136	8.039584330323845e-12
CFAP47	XXI_HEALTHFACTORS	5401	3570	24440	18884	1.168957579758581	3.5516839831444316e-11
MAGEB16	GEST_DIABETES	607	32647	209	18832	1.6753115060140933	4.32972999848794e-11
MAGEB16	ENDOMETRIOSIS_OVARY	561	32693	192	18849	1.6845937012510324	1.5638152090496488e-10
HLA-DQB1	E4_DM1NOCOMP	271	23875	171	27978	1.857147790943327	1.874960889896535e-10
MAGEB16	ENDOMETRIOSIS_UTERUS	372	32882	111	18930	1.9293559114737875	2.0518428358436808e-10
HLA-DQB1	E4_DM1OPTH	137	24009	63	28086	2.5438754117999403	2.1253227602431085e-10
IDH3G	ENDOMETRIOSIS_OVARY	286	14104	467	37438	1.625621719839528	3.4868306858566964e-10
MYOC	H7_GLAUCOMA	41	283	2145	49826	3.365318309487921	3.568930764488394e-10
CFAP47	II_NEOPLASM	3314	5657	14511	28813	1.1632082198083058	4.666887074203047e-10
LL0XNC01-16G2.1	XV_PREGNANCY_BIRTH	219	215	18542	33319	1.8303790514557774	4.837188511546398e-10
CFAP47	IBD_ENDOMETRIOSIS	426	8545	1454	41870	1.4356087160537747	5.102893187008117e-10
MICA	L12_PSORI_VULG	36	1211	424	50624	3.5493510742720034	7.090372698573819e-10
MYOC	H7_GLAUCPRIMOPEN	29	295	1221	50750	4.085981204625273	1.6341221716018153e-09
POU5F1	L12_PSORI_VULG	50	2176	410	49659	2.7830770265423244	1.8089068177366808e-09
H2BFM	PRE_OR_ECLAMPSIA	526	27750	291	23728	1.5455779078047118	1.9904919646951924e-09
GNG13	DM_KETOACIDOSIS	15	115	796	51369	8.417467773650863	2.0628969003288384e-09
HLA-DQB1	E4_DMNAS	430	23716	324	27825	1.5571024093751367	2.1944105791896415e-09
CHEK2	C3_CANCER	165	747	5846	45537	1.7205565333520192	3.575731339501899e-09
CHEK2	II_NEOPLASM	396	516	17429	33954	1.4950783711189717	3.621141881924867e-09
IDH3G	II_NEOPLASM	5191	9199	12634	25271	1.128734930562739	3.905574546807347e-09
MAP3K15	XV_PREGNANCY_BIRTH	188	182	18573	33352	1.854924701637672	4.4869725322013424e-09
H2BFM	ANY_OPER	25485	2791	21269	2750	1.1806207829452011	5.461662876824596e-09
CFAP47	ENDOMETRIOSIS_OVARY	192	8779	561	42763	1.6670993553527407	5.835576743317387e-09
CFAP47	I9_VARICVE	952	8019	3745	39579	1.254670624556398	6.3710571081071745e-09
